#,accountId,cacheNodeType,engine,engineVersion,cacheClusterId,cacheSubnetGroupName,numCacheNodes,cacheClusterCreateTime,preferredAvailabilityZone
47,725545854813,cache.m3.large,redis,2.8.24,rd-pressuretest-002,vpc-xhqb-test,1,2018-01-05T05:49:47.012Z,cn-north-1b
48,725545854813,cache.m3.medium,redis,2.8.24,rd-prod01-001,xhvpc,1,2016-06-01T08:02:04.608Z,cn-north-1a
49,725545854813,cache.m3.medium,redis,2.8.24,rd-prod01-002,xhvpc,1,2016-06-01T08:07:03.397Z,cn-north-1b
50,725545854813,cache.m3.medium,redis,2.8.24,rd-product-001,xhvpc,1,2017-06-13T10:43:49.229Z,cn-north-1a
51,725545854813,cache.m3.medium,redis,2.8.24,rd-product-002,xhvpc,1,2017-06-13T10:48:55.939Z,cn-north-1b
52,725545854813,cache.m3.medium,redis,3.2.4,rd-protocol-001,xhvpc,1,2016-12-19T13:15:54.046Z,cn-north-1a
53,725545854813,cache.m3.medium,redis,3.2.4,rd-protocol-002,xhvpc,1,2016-12-19T13:21:03.418Z,cn-north-1b
54,725545854813,cache.m3.medium,redis,2.8.24,rd-pt-001,xhvpc,1,2016-05-09T03:48:39.614Z,cn-north-1a
55,725545854813,cache.m3.medium,redis,2.8.24,rd-pt-002,xhvpc,1,2016-05-09T03:53:15.708Z,cn-north-1b
56,725545854813,cache.m3.medium,redis,2.8.24,rd-smartkefu-001,xhvpc,1,2017-11-30T10:16:56.584Z,cn-north-1b
57,725545854813,cache.m3.medium,redis,2.8.24,rd-smartkefu-002,xhvpc,1,2017-11-30T10:21:37.561Z,cn-north-1a
58,725545854813,cache.m3.medium,redis,2.8.24,rd-sms-001,xhvpc,1,2016-03-14T07:36:24.460Z,cn-north-1a
59,725545854813,cache.m3.medium,redis,2.8.24,rd-sms-002,xhvpc,1,2016-03-14T07:41:18.490Z,cn-north-1b
60,725545854813,cache.m3.medium,redis,2.8.24,rd-snr-001,xhvpc,1,2017-10-12T12:42:36.981Z,cn-north-1b
61,725545854813,cache.m3.medium,redis,2.8.24,rd-snr-002,xhvpc,1,2017-10-12T12:47:45.436Z,cn-north-1a
62,725545854813,cache.m3.medium,redis,2.8.23,rd-staff-001,xhvpc,1,2015-12-30T09:04:52.552Z,cn-north-1a
63,725545854813,cache.m3.medium,redis,2.8.23,rd-staff-002,xhvpc,1,2015-12-30T09:09:45.467Z,cn-north-1b
64,725545854813,cache.m3.medium,redis,2.8.24,rd-teluwmanager-001,xhvpc,1,2016-04-08T02:49:18.871Z,cn-north-1a
65,725545854813,cache.m3.medium,redis,2.8.24,rd-teluwmanager-002,xhvpc,1,2016-04-08T02:54:16.989Z,cn-north-1b
66,725545854813,cache.m3.medium,redis,2.8.24,rd-uat-001,xhvpc,1,2016-03-03T03:24:40.337Z,cn-north-1a
67,725545854813,cache.m3.medium,redis,2.8.24,rd-uat-002,xhvpc,1,2016-03-03T03:29:37.198Z,cn-north-1b
68,725545854813,cache.m4.large,redis,2.8.23,rd-underwriter-001,xhvpc,1,2015-11-19T01:42:25.345Z,cn-north-1a
69,725545854813,cache.m4.large,redis,2.8.23,rd-underwriter-002,xhvpc,1,2015-11-19T01:46:59.998Z,cn-north-1b
70,725545854813,cache.m3.medium,redis,2.8.24,rd-weixin-001,xhvpc,1,2016-01-22T07:58:26.212Z,cn-north-1a
71,725545854813,cache.m3.medium,redis,2.8.24,rd-weixin-002,xhvpc,1,2016-01-22T08:03:24.508Z,cn-north-1b
72,725545854813,cache.m3.medium,redis,2.8.24,redis-autotest,vpc-xhqb-test,1,2017-10-20T08:13:24.061Z,cn-north-1a
73,725545854813,cache.m3.medium,redis,2.8.24,redis-dev1,vpc-xhqb-test,1,2017-11-09T08:53:50.247Z,cn-north-1b
74,725545854813,cache.t2.medium,redis,2.8.24,redis-test1,vpc-xhqb-test,1,2017-10-27T11:52:20.908Z,cn-north-1a
75,725545854813,cache.t2.medium,redis,2.8.24,redis-test3,vpc-xhqb-test,1,2018-11-27T08:50:19.796Z,cn-north-1b
76,725545854813,cache.t2.small,redis,2.8.24,redis-test5,vpc-xhqb-test,1,2018-04-11T08:39:34.938Z,cn-north-1b
77,725545854813,cache.m3.medium,redis,2.8.24,redis-test6-001,vpc-xhqb-test,1,2017-11-03T12:03:22.630Z,cn-north-1a
78,725545854813,cache.m3.medium,redis,2.8.24,redis-test6-002,vpc-xhqb-test,1,2017-11-03T12:08:16.631Z,cn-north-1b
